Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Foxe USD,FOXE-USD,2023-07-03,0.0,0.0,0.0,0.0,0.0,1033
Foxe USD,FOXE-USD,2023-07-04,0.0,0.0,0.0,0.0,0.0,742
Foxe USD,FOXE-USD,2023-07-06,0.0,0.0,0.0,0.0,0.0,25
Foxe USD,FOXE-USD,2023-07-07,0.0,0.0,0.0,0.0,0.0,15
Foxe USD,FOXE-USD,2023-07-08,0.0,0.0,0.0,0.0,0.0,6
Foxe USD,FOXE-USD,2023-07-09,0.0,0.0,0.0,0.0,0.0,215
Foxe USD,FOXE-USD,2023-07-11,0.0,0.0,0.0,0.0,0.0,82
Foxe USD,FOXE-USD,2023-07-12,0.0,0.0,0.0,0.0,0.0,44
Foxe USD,FOXE-USD,2023-07-13,0.0,0.0,0.0,0.0,0.0,2261
Foxe USD,FOXE-USD,2023-07-14,0.0,0.0,0.0,0.0,0.0,1412
Foxe USD,FOXE-USD,2023-07-15,0.0,0.0,0.0,0.0,0.0,17
Foxe USD,FOXE-USD,2023-07-17,0.0,0.0,0.0,0.0,0.0,108
Foxe USD,FOXE-USD,2023-07-18,0.0,0.0,0.0,0.0,0.0,2
Foxe USD,FOXE-USD,2023-07-22,0.0,0.0,0.0,0.0,0.0,2
Foxe USD,FOXE-USD,2023-07-24,0.0,0.0,0.0,0.0,0.0,67
Foxe USD,FOXE-USD,2023-07-25,0.0,0.0,0.0,0.0,0.0,49
Foxe USD,FOXE-USD,2023-07-26,0.0,0.0,0.0,0.0,0.0,528
Foxe USD,FOXE-USD,2023-07-27,0.0,0.0,0.0,0.0,0.0,139
Foxe USD,FOXE-USD,2023-07-28,0.0,0.0,0.0,0.0,0.0,272
Foxe USD,FOXE-USD,2023-07-30,0.0,0.0,0.0,0.0,0.0,50
Foxe USD,FOXE-USD,2023-07-31,0.0,0.0,0.0,0.0,0.0,9
Foxe USD,FOXE-USD,2023-08-03,0.0,0.0,0.0,0.0,0.0,10
Foxe USD,FOXE-USD,2023-08-04,0.0,0.0,0.0,0.0,0.0,245
Foxe USD,FOXE-USD,2023-08-05,0.0,0.0,0.0,0.0,0.0,52
Foxe USD,FOXE-USD,2023-08-06,0.0,0.0,0.0,0.0,0.0,67
Foxe USD,FOXE-USD,2023-08-07,0.0,0.0,0.0,0.0,0.0,347
Foxe USD,FOXE-USD,2023-08-08,0.0,0.0,0.0,0.0,0.0,39
Foxe USD,FOXE-USD,2023-08-12,0.0,0.0,0.0,0.0,0.0,39
Foxe USD,FOXE-USD,2023-08-15,0.0,0.0,0.0,0.0,0.0,12
